index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
342,251,188,149,0.250996015936255,0.20744680851063835,0.40637450199203184
343,861,533,179,0.38095238095238093,0.6641651031894935,0.792102206736353
344,251,177,137,0.29482071713147406,0.22598870056497178,0.45418326693227096
345,251,228,136,0.0916334661354582,0.4035087719298246,0.4581673306772909
346,861,703,240,0.18350754936120794,0.6586059743954481,0.7212543554006969
347,726,534,176,0.2644628099173554,0.6704119850187267,0.7575757575757576
348,386,323,172,0.16321243523316065,0.46749226006191946,0.5544041450777202
349,726,587,167,0.19146005509641872,0.7155025553662692,0.7699724517906337
350,726,480,213,0.33884297520661155,0.55625,0.7066115702479339
351,386,276,146,0.2849740932642487,0.47101449275362317,0.6217616580310881
352,623,317,143,0.4911717495987159,0.5488958990536277,0.7704654895666132
353,964,503,214,0.47821576763485474,0.5745526838966203,0.7780082987551867
